Carrera que estudias actualmente,Género,Motivación,Pensando en abandonar,Ya decidí abandonar
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,3,4,No
Ingeniería Civil Electrónica,Masculino,3,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Informática,Masculino,3,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,2,4,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,2,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil,Masculino,5,3,No
Ingeniería Civil Electrónica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,2,4,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,4,2,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,2,4,SÃ­
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,4,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,4,SÃ­
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,SÃ­
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,3,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,4,3,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil,Masculino,2,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Informática,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,3,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,2,4,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil,Masculino,2,4,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,3,2,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Eléctrica,Masculino,4,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,5,2,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,3,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Informática,Masculino,2,4,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Electrónica,Prefiero no decirlo,3,3,No
Ingeniería Civil Electrónica,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,3,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil,Masculino,4,1,SÃ­
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil Eléctrica,Masculino,4,3,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Industrial,Masculino,5,2,No
Ingeniería Civil Informática,Masculino,3,1,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,2,1,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,2,2,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,2,2,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,3,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil,Masculino,3,4,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,2,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,5,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,3,No
Ingeniería Civil Industrial,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,2,4,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Electrónica,Masculino,3,4,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,3,3,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,2,3,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,5,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,1,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Informática,Masculino,2,4,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Prefiero no decirlo,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Electrónica,Masculino,3,4,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil,Masculino,2,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Prefiero no decirlo,4,1,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,4,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil,Masculino,5,3,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,5,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,2,4,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil Eléctrica,Masculino,3,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,2,4,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Informática,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil Informática,Masculino,2,4,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,4,No
Ingeniería Civil Eléctrica,Masculino,3,2,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,1,1,No
Ingeniería Civil Industrial,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,4,3,No
Ingeniería Civil Informática,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Informática,Prefiero no decirlo,4,2,No
Ingeniería Civil,Masculino,2,4,SÃ­
Ingeniería Civil Electrónica,Masculino,4,2,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Informática,Masculino,3,2,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,3,1,No
Ingeniería Civil Informática,Masculino,3,3,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,4,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil,Masculino,4,1,SÃ­
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,3,No
Ingeniería Civil Electrónica,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,2,3,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Informática,Masculino,5,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil Electrónica,Masculino,3,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,2,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Industrial,Masculino,5,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,3,3,No
Ingeniería Civil Eléctrica,Masculino,3,1,No
Ingeniería Civil,Masculino,4,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Electrónica,Masculino,3,2,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,3,1,No
Ingeniería Civil,Masculino,2,3,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil Eléctrica,Masculino,5,1,No
Ingeniería Civil Eléctrica,Masculino,1,2,No
Ingeniería Civil Eléctrica,Masculino,2,2,No
Ingeniería Civil Industrial,Masculino,4,1,No
Ingeniería Civil,Masculino,4,2,No
Ingeniería Civil Informática,Masculino,2,4,No
Ingeniería Civil,Masculino,4,1,No
Ingeniería Civil,Masculino,2,3,No
